DirectorID,Name,Gender,MovieID,Age,Awards
2880,Emilio Estevez,2,59232,58,2
68185,Eric Schaeffer,2,37567,44,1
41040,Tony Gatlif,2,124834,74,1
3776,Jean-Luc Godard,2,111367,30,1
66121,"George Tillman, Jr.",2,29461,54,5
54050,Mark Waters,2,33344,36,1
4429,Jim Jarmusch,0,62422,38,6
66800,Morgan J. Freeman,2,125052,53,2
59874,Robert Downey Sr.,2,32332,30,7
88077,Alex Zamm,2,31535,73,4
1978,Iain Softley,2,45609,37,1
3192,Billy Hopkins,2,45565,53,5
4566,Alan Rickman,2,25994,40,0
18694,Bret Michaels,2,43911,46,6
107762,Alexander Sokurov,0,44361,37,2
42113,Zalman King,0,36943,64,0
52358,Boaz Yakin,2,44308,64,2
16294,Jonathan Demme,2,62695,62,8
15912,Stephen Gyllenhaal,2,17133,34,0
9778,Ice Cube,2,19848,71,2
17087,Michael Moore,2,1774,68,3
39819,Wayne Wang,0,30265,70,4
26502,Howard Deutch,2,27472,57,1
17278,Nick Gomez,2,98499,36,0
87033,Julie Davis,1,90414,38,0
92561,Nick Broomfield,2,13907,37,2
16376,Larry David,2,24560,41,1
22020,Barbara Kopple,1,76330,63,7
172,Michael Winterbottom,2,49474,62,0
229519,Thom Fitzgerald,2,35161,52,3
110695,Majid Majidi,2,21334,53,0
91343,Hal Hartley,2,37410,66,0
4883,Manuel Pradal,2,47481,64,1
3359,Laurence Olivier,2,23383,73,1
78188,Whit Stillman,2,15389,69,3
17087,Michael Moore,2,1779,51,6
8300,Kevin Reynolds,0,20348,56,2
5834,Robert Stevenson,2,43037,64,7
65310,Kenny Ortega,2,15300,30,5
58689,Neil LaBute,2,77469,64,2
37948,Brad Anderson,2,41469,66,4
126125,Bill Plympton,0,51942,43,2
72450,Bob Saget,2,14577,32,0
933,William Nicholson,2,38621,30,3
33279,Danny Cannon,2,28047,34,0
2636,Alfred Hitchcock,2,52907,55,2
42974,Troy Byer,1,223318,43,3
26265,Lina Wertmüller,0,37916,68,0
18378,Herbert Ross,0,16384,56,0
21712,Carl Franklin,0,53113,38,6
2283,Stanley Tucci,2,28134,44,2
8929,Charles Crichton,2,43106,44,0
72197,Ferzan Ozpetek,2,27104,55,3
39996,Sidney Lumet,2,45712,71,2
18069,Brian Gibson,2,1618,42,2
134156,Sam Miller,2,125123,61,8
24560,Marion Vernoux,1,186705,68,3
54827,Dave Meyers,0,27455,61,1
4818,Roberto Benigni,2,22826,33,4
638550,Kristi Jacobson,1,84198,59,5
930628,Lori Silverbush,0,84198,66,0
78012,François Girard,2,14283,52,0
56710,Oliver Parker,2,24137,68,0
65314,Giuseppe Tornatore,0,10376,74,3
51866,Rick Famuyiwa,0,16158,44,2
24657,Franco Zeffirelli,2,198469,72,2
12698,Bob Clark,2,24081,58,7
923620,Károly Makk,2,197239,65,4
68,Fritz Lang,2,91893,42,0
96439,Nanette Burstein,1,113273,61,1
102109,Brett Morgen,2,113273,36,1
1009298,Goran Paskaljević,0,47144,51,1
148455,Ziad Doueiri,0,49184,57,3
69300,Gene Saks,2,17887,31,5
73499,Bruce McCulloch,2,62994,71,1
578,Ridley Scott,2,31650,74,2
229519,Thom Fitzgerald,2,97537,35,4
72024,Malcolm D. Lee,2,16162,57,1
3131,Antonio Banderas,2,31306,57,0
114629,Philippe Mora,0,94857,73,1
13980,Vincente Minnelli,2,77915,73,0
10781,Michael Apted,2,20565,49,7
8246,Barry Levinson,2,27141,59,0
64114,Edward Dmytryk,0,78256,40,1
18500,Phil Joanou,2,18161,57,2
111807,Matthew Warchus,0,50116,54,8
18533,Errol Morris,2,28216,68,0
22812,Marion Hänsel,1,125317,62,0
37236,Santosh Sivan,2,48233,30,0
16863,Todd Haynes,2,47620,56,0
68185,Eric Schaeffer,2,97805,42,0
7501,Ronald Neame,2,21489,70,2
36083,Kevin Allen,2,20468,32,0
943155,Alejandro Springall,2,46835,68,0
31123,Rob Hardy,2,77908,35,4
110962,Steven Okazaki,0,79515,37,1
13848,Charlie Chaplin,2,28978,56,1
115226,Eric Mendelsohn,2,36048,38,1
65134,DJ Pooh,2,47816,66,8
57328,Barry W. Blaustein,2,14271,62,0
99916,Herschell Gordon Lewis,2,28180,71,5
68212,Carroll Ballard,2,14280,73,4
27614,Régis Wargnier,2,28463,53,0
6729,Robert Benton,2,61178,44,8
105752,Benoît Mariage,2,31336,61,0
7314,Nick Park,2,54825,61,0
16938,Renny Harlin,2,103960,53,4
110695,Majid Majidi,2,17078,70,3
114337,George Fitzmaurice,2,85689,41,2
56381,James Toback,2,38809,68,0
5149,Bonnie Hunt,1,2621,31,1
2283,Stanley Tucci,2,125709,32,4
22669,Julien Temple,2,27745,66,1
69719,Bruno Barreto,2,19600,46,1
42113,Zalman King,0,5241,31,0
78391,Jon Reiss,2,47295,31,0
13848,Charlie Chaplin,2,28973,57,5
130938,Sergei Bodrov,0,120077,52,1
29433,Lucio Fulci,2,24920,66,8
94787,Joe Camp,2,23069,61,1
94787,Joe Camp,2,38802,62,3
58448,Penelope Spheeris,0,36724,30,0
1223,Joel Coen,0,11368,48,1
16730,Darrell James Roodt,0,35936,31,0
11447,Albert Hughes,2,24587,73,1
11448,Allen Hughes,2,24587,55,2
19842,José Luis Cuerda,2,31023,61,9
59248,Mick Davis,2,41160,35,3
26134,Roy Ward Baker,2,25993,61,0
68215,Reginald Hudlin,2,16094,33,0
59466,Jamie Babbit,1,20770,40,0
61069,Miguel Arteta,2,44490,46,2
88391,Jeremy Podeswa,2,47585,67,4
18669,J. Lee Thompson,0,18118,53,7
113733,Britt Allcroft,0,16110,34,0
5696,Bruce Beresford,2,39473,63,2
17046,Gary Winick,2,274868,35,1
5281,Spike Lee,2,23618,51,3
84165,Michael Dinner,2,19150,40,2
84211,Valerie Breiman,1,25128,45,3
51521,Robert Greenwald,2,18153,62,3
35796,Craig Mazin,2,29015,38,0
19143,Jason Priestley,2,15752,35,4
17281,Mike Hodges,0,1485,45,0
15868,Uli Edel,0,24100,58,3
12989,Andrew Davis,2,20721,32,1
583118,Montxo Armendáriz,2,92603,49,2
1255,David Mamet,2,26719,65,6
21792,George Gallo,2,18828,48,5
49422,Anne De Salvo,1,220976,55,4
42171,Jonathan Kaplan,2,66599,32,2
31310,Jack Hill ,2,22048,48,3
35689,Keenen Ivory Wayans,2,17006,49,2
119234,Jean-François Laguionie,0,37949,61,5
1078833,Kong Yeung,0,89992,36,1
56205,Atom Egoyan,2,26964,70,8
68750,Robert Townsend,2,34101,62,6
19665,John Boorman,2,32054,69,3
66548,Paul Weiland,2,24828,68,0
30477,Peter Werner,2,34379,47,0
18355,Alex Winter,2,121091,69,5
122441,Harry Sinclair,2,21620,30,0
48548,Lee Stanley,2,35569,40,5
88743,Daniel Minahan,2,19513,57,1
12964,Michael Ritchie,2,62127,54,1
45645,Deran Sarafian,2,17466,52,6
5281,Spike Lee,2,26580,60,2
6817,Agnès Varda,1,44379,59,2
114925,Richard Dutcher,2,26791,71,2
3266,Joe Mantegna,2,196280,64,1
39819,Wayne Wang,0,32590,36,4
13496,Marleen Gorris,0,52654,45,0
119493,Shinji Aoyama,0,38047,55,6
4967,Colin Higgins,2,19494,31,5
37526,Fernando Trueba,0,115810,30,1
87009,Del Shores,0,19094,41,3
230071,Amos Kollek,0,49453,34,2
118020,Jacques Doillon,2,37558,66,1
57206,Sally Potter,1,29572,61,8
205639,Jim McKay,2,48109,38,0
5342,Mike Nichols,2,22414,70,0
54967,Sam Weisman,2,14034,64,2
56789,Thomas Bezucha,2,21056,48,2
67632,Peter Markle,2,17465,45,2
51634,Hermine Huntgeburth,1,126881,32,4
146295,Yim Ho,0,52616,49,2
40312,Raoul Peck,0,55551,53,2
22669,Julien Temple,2,40880,62,0
107730,Tran Anh Hung,2,34899,53,1
10601,Joseph L. Mankiewicz,2,34689,40,0
57090,Brett Leonard,0,82623,37,0
81256,Joel Hopkins,2,25985,65,2
15277,Jon Favreau,2,15745,67,0
76100,Ben Stassen,2,113271,69,0
69946,Bud Yorkin,2,26044,49,0
10702,Martin Campbell,2,41952,64,7
47773,Paul Mazursky,2,34014,54,7
32327,Ken Russell,2,70842,64,2
51521,Robert Greenwald,2,50203,54,6
9626,Rip Torn,2,91445,58,4
55146,Paul Bogart,2,8463,47,2
68687,Bill Forsyth,2,69828,47,0
53861,Susan Seidelman,1,86093,31,4
89373,Martin Davidson,2,21721,64,3
8965,Roland Joffé,0,27461,45,2
82505,Gordon Hessler,2,41969,70,4
13563,Norman Jewison,2,32855,65,2
8573,Thomas J. Wright,0,39002,62,3
26882,Kiyoshi Kurosawa,2,36095,33,6
139250,Samantha Lang,0,47574,62,1
101377,Paul Bartel,2,60276,43,3
10076,Lewis Gilbert,2,18683,50,1
10757,Jane Campion,1,65015,49,3
141450,Mel Smith,2,24077,37,4
3064,Peter Mullan,2,57745,36,0
67569,Steven M. Martin,0,70042,32,2
37948,Brad Anderson,2,22230,46,0
2171,Griffin Dunne,0,206412,62,3
305750,Patrik-Ian Polk,2,248757,41,1
148103,Shin Sang-ok,2,40508,51,4
66116,Mark Brown,2,25462,51,0
3224,Stephen Frears,0,48834,59,2
42081,George Butler,0,32567,67,0
23442,Vladimir Menshov,2,21028,67,5
10367,John Waters,2,14267,74,6
233491,Sophie Fillières,1,78657,37,9
65134,DJ Pooh,2,13408,56,4
82335,Richard Glatzer,0,17731,56,4
82337,Wash Westmoreland,0,17731,63,0
15663,Joseph Sargent,2,31037,50,1
30309,Peter Greenaway,2,33356,59,1
17281,Mike Hodges,0,33525,62,4
59210,Patrick Stettner,2,31064,57,6
13776,John Frankenheimer,2,35201,62,0
58728,Andrei Konchalovsky,2,77985,34,6
18378,Herbert Ross,0,26686,48,3
24173,Mike Binder,2,20678,33,2
66605,Todd Solondz,2,16550,64,0
19304,John Schlesinger,2,47871,46,0
108987,William A. Seiter,2,32484,73,2
52049,Jay Chandrasekhar,2,39939,57,3
64061,Fred Schepisi,2,14778,59,0
12329,Vittorio De Sica,2,19137,58,2
3229,Arliss Howard,2,75151,35,5
31268,Larry Fessenden,2,44340,64,4
105802,Doug Pray,2,18984,70,6
18854,Martin Ritt,2,115332,66,1
34453,Kevin Bray,2,13950,53,1
53334,Jim Sheridan,2,31651,58,3
102445,John Sayles,2,42750,60,1
10439,Marshall Brickman,2,55792,64,0
932403,Fernando Pérez,0,112942,62,0
91343,Hal Hartley,2,29135,50,1
6008,Harry Shearer,2,184835,61,0
67674,Rudy De Luca,0,25133,52,1
569,Ethan Hawke,2,35694,62,0
202885,Henry Barrial,0,292917,32,0
572591,Bryan Johnson,2,19085,47,2
21819,Lewis Teague,2,39771,54,2
38803,Roman Coppola,2,27834,71,3
16888,Ralph Nelson,2,53229,60,0
1963,Danièle Thompson,1,48216,32,0
84692,Finn Taylor,2,18408,69,2
1223735,Daniel Attias,0,17898,53,2
102445,John Sayles,2,57022,61,2
56539,Nicole Holofcener,1,50035,51,1
55785,Shunji Iwai,2,16664,52,6
2245,Yvan Attal,2,14651,31,1
6159,Ron Howard,2,19731,56,1
96439,Nanette Burstein,1,29047,71,3
102109,Brett Morgen,2,29047,31,2
21958,Mark Rydell,2,149445,55,1
92561,Nick Broomfield,2,30586,46,1
130816,Jesse Peretz,0,61112,69,4
31123,Rob Hardy,2,92384,62,0
48583,Anne Fontaine,1,60608,38,0
18378,Herbert Ross,0,13571,72,1
566294,Patricio Guzmán,2,113369,68,4
21278,Alan Alda,2,18913,58,0
24173,Mike Binder,2,33506,71,9
84369,Eugene Jarecki,2,54714,55,2
23628,Eriq La Salle,2,55018,64,8
78297,Phil Vischer,2,15173,54,6
78298,Mike Nawrocki,2,15173,53,1
25598,Paul Greengrass,2,4107,42,0
37852,George Hickenlooper,2,15720,36,0
39012,Peter Bogdanovich,2,82545,65,0
8872,Rick Moranis,2,12921,74,3
61961,Dave Thomas,2,12921,49,0
117075,Henry Jaglom,2,120694,30,1
15452,David Steinberg,2,15313,37,1
16304,Brian Koppelman,2,7501,45,6
16305,David Levien,2,7501,43,0
8297,Roger Avary,2,1809,41,0
46297,Jay Russell,2,13768,52,0
62824,Gary J. Tunnicliffe,2,49872,44,6
38507,Francis Veber,2,19123,57,2
32277,Geoff Murphy,2,16124,63,0
4782,Michael Crichton,2,21874,31,0
549357,Phil Monroe,2,41394,61,0
549358,Gerry Chiniquy,2,41394,52,0
930633,Friz Freleng,2,41394,51,7
66088,Ronald F. Maxwell,2,75596,54,4
10367,John Waters,2,14269,51,1
239075,Dylan Kidd,2,13441,51,5
8447,Jeff Daniels,2,39497,71,0
48440,Nils Tavernier,2,117520,35,3
56205,Atom Egoyan,2,16351,44,5
17329,Neil Burger,2,36584,72,1
84021,Paul Gross,2,34341,66,4
260006,Kjell Grede,0,80849,62,0
41670,Rebecca Miller,1,32625,37,0
18533,Errol Morris,2,30142,73,0
114629,Philippe Mora,0,40219,73,1
13563,Norman Jewison,2,45840,34,3
1788,Nicholas Meyer,2,32074,68,7
38883,Arnaud Desplechin,2,61578,33,2
32983,Douglas McGrath,2,29339,35,5
6400,Tom DiCillo,2,14390,74,4
56195,Ole Christian Madsen,2,15842,61,0
51521,Robert Greenwald,2,26393,59,1
15148,Jon Amiel,2,41927,64,0
35208,Coline Serreau,1,44164,69,3
2303,Wim Wenders,2,28307,45,7
18897,Jackie Chan,2,16407,42,0
253414,Slobodan Šijan,0,29450,71,3
33315,Richard Loncraine,2,52083,59,2
43553,Jerzy Skolimowski,2,42134,48,2
24279,Paolo Taviani,2,42130,46,1
24281,Vittorio Taviani,0,42130,48,1
3776,Jean-Luc Godard,2,32692,57,0
11057,Robert Towne,2,27609,55,0
64909,Jean-Marie Poiré,2,14645,66,0
9956,Chris Marker,0,1563,55,2
57138,Tony Bill,2,77073,52,0
14692,Nick Castle,2,48313,38,5
103511,José Luis Garci,2,81346,41,2
64141,David Gordon Green,2,13132,30,3
97026,John Luessenhop,2,50380,30,1
10723,Mike Newell,2,33221,63,2
6413,Danny Huston,2,77233,61,7
53861,Susan Seidelman,1,170400,54,0
46085,Luis Mandoki,0,44968,69,0
20660,Carlos Reygadas,0,36211,74,4
3087,Robert Duvall,2,16425,30,0
122449,Steve James,2,51927,45,0
1462,Tim Blake Nelson,2,62184,68,1
9612,Ed Solomon,2,21052,34,0
58189,Justin Lin,0,14290,51,2
31903,Henry Winkler,2,107569,58,0
34613,Philippe de Broca,2,26866,32,5
2876,Matt Dillon,2,31932,41,4
34849,Ted Demme,2,38868,55,3
2163,Richard LaGravenese,2,38868,45,2
74638,Karen Moncrieff,1,46989,66,5
54607,Bahman Ghobadi,2,13438,51,0
1027168,Joel Silberg,2,15259,58,5
6495,Mira Nair,1,45069,43,4
72427,Alan Rudolph,2,21024,57,3
130300,Aluizio Abranches,0,61939,34,2
222216,Laetitia Masson,0,78281,59,0
1776,Francis Ford Coppola,2,28503,34,1
937129,Jean-Xavier de Lestrade,0,51391,41,4
55668,Jamie Uys,2,147729,45,0
4415,Federico Fellini,2,47715,55,4
21113,D.A. Pennebaker,2,34759,55,0
39819,Wayne Wang,0,98984,50,0
1963,Danièle Thompson,1,18300,68,0
126855,Pavel Lungin,2,39088,65,0
932363,Mariano Barroso,2,115665,62,2
25854,Lucas Belvaux,2,24259,59,0
2294,Robert Rodriguez,2,12279,66,8
6111,Mike Figgis,2,47232,52,2
63937,Albert Pyun,2,24993,39,0
72427,Alan Rudolph,2,26195,34,3
5970,Pier Paolo Pasolini,2,33954,65,5
133259,Arthur Hiller,2,48364,63,3
2000,Lewis Milestone,0,23395,60,0
10781,Michael Apted,2,120683,39,5
1119816,Anand Patwardhan,0,143795,48,4
127823,Agustín Díaz Yanes,0,38874,61,0
4760,Deepa Mehta,1,333,30,0
105882,Neema Barnette,1,30246,34,2
225898,István Szabó,0,31094,74,0
35452,Corey Yuen Kwai,0,15136,33,4
52194,Tony Randel,2,61054,45,1
18969,Doris Dörrie,1,29507,53,6
51373,Larry Peerce,2,52734,45,2
81749,Manoel de Oliveira,0,49685,31,0
42309,Tibor Takács,2,40353,57,0
102445,John Sayles,2,38244,61,2
128947,Jeremy Kagan,2,42570,56,4
94831,Maggie Greenwald,0,71940,49,4
11834,David Seltzer,2,48345,53,0
58463,Glenn Gordon Caron,2,55950,41,0
3632,Richard Brooks,2,18900,64,0
40304,Jacques Nolot,2,49475,62,3
26128,Brian Clemens,2,18979,62,0
52405,Michael Hoffman,2,62327,72,1
34949,Lucy Walker,1,30068,66,2
59,Luc Besson,2,19184,41,6
564,Richard Linklater,2,14022,32,1
21792,George Gallo,2,23719,30,0
21311,Wesley Ruggles,2,34456,62,3
12238,David Lean,2,15927,69,2
2352,Jean-Jacques Annaud,2,42238,39,1
34613,Philippe de Broca,2,17685,72,6
232937,Cheryl Dunye,0,26710,73,4
120229,Jafar Panahi,2,40427,58,0
26510,Eugene Levy,2,27465,42,0
67451,Delbert Mann,2,131313,41,2
834,Otto Preminger,2,118910,60,4
8328,John Milius,2,14815,31,0
69946,Bud Yorkin,2,102057,64,3
133259,Arthur Hiller,2,42514,52,2
133259,Arthur Hiller,2,20444,46,0
127936,Chris Stokes,2,14114,55,3
25854,Lucas Belvaux,2,44539,37,7
72427,Alan Rudolph,2,32035,58,0
19304,John Schlesinger,2,91390,55,1
879,Billy Bob Thornton,2,33557,39,1
30249,Preston Sturges,2,23001,55,5
25854,Lucas Belvaux,2,44674,63,7
107629,Greg Pak,2,20032,70,1
54441,James Ivory,2,67022,36,4
76998,James Marsh,2,37044,33,2
36083,Kevin Allen,2,17047,74,2
2165,Rosanna Arquette,1,142168,40,0
12804,Peter Yates,2,26176,58,0
4964,Hal Ashby,2,78364,65,0
39743,Henry Levin,2,50549,54,2
1241,John Turturro,2,111883,50,0
18378,Herbert Ross,0,16561,65,6
54469,Michael Almereyda,2,126117,39,0
28904,Hugh Wilson,2,54807,66,0
21031,Alejandro Agresti,2,30125,38,2
6817,Agnès Varda,1,238952,53,3
10781,Michael Apted,2,20561,64,0
35468,Amber Benson,1,13055,64,1
6648,Ingmar Bergman,2,44864,65,7
12238,David Lean,2,50363,47,0
41040,Tony Gatlif,2,47108,68,1
14674,George Cukor,0,33575,61,4
18378,Herbert Ross,0,37296,53,0
107730,Tran Anh Hung,2,19552,52,1
6817,Agnès Varda,1,94771,61,1
11983,Alain Resnais,2,2817,66,1
54469,Michael Almereyda,2,77780,41,0
54607,Bahman Ghobadi,2,29270,42,0
32427,W.S. Van Dyke,2,14590,52,1
8876,Randal Kleiser,2,86959,54,0
2228,Sean Penn,2,25598,64,4
9855,Terence Young,2,33357,70,1
38689,John Flynn,2,21948,59,1
5140,Wes Craven,2,13122,46,5
102429,Roger Corman,2,22694,49,3
39012,Peter Bogdanovich,2,27804,54,0
58614,SABU,2,105130,51,7
3632,Richard Brooks,2,33632,42,0
66086,Mary Agnes Donoghue,0,68430,48,0
1723,Walter Hill,2,15392,65,4
21792,George Gallo,2,43267,41,2
123558,Jean-François Pouliot,0,41277,70,1
3224,Stephen Frears,0,42013,48,0
9181,Edward Zwick,2,54715,41,2
19224,Gregg Araki,2,33560,38,0
7017,Roger Michell,2,59210,36,6
12804,Peter Yates,2,42122,57,0
9789,Robert Altman,2,71125,43,5
13663,Robert Shaye,2,52560,60,2
57865,Álex de la Iglesia,0,57544,48,4
80570,Walter Lang,2,27686,45,3
93911,Terence Davies,2,41799,34,3
13953,Edward F. Cline,2,29353,64,1
65879,Kristian Levring,0,205481,41,0
90037,James Lapine,2,23378,54,0
37852,George Hickenlooper,2,61487,50,5
28904,Hugh Wilson,2,19014,65,4
10346,Robert Bresson,2,55848,52,1
50300,John Farrow,2,43786,45,0
1035,Paul Schrader,0,41925,68,1
82335,Richard Glatzer,0,219345,74,2
1011158,Florent-Emilio Siri,0,22156,71,1
55251,Asif Kapadia,0,23305,68,4
80651,Kim Sang-jin,0,16606,43,9
39743,Henry Levin,2,46081,60,0
51962,Bill Cosby,2,20120,34,1
94787,Joe Camp,2,44415,64,1
10051,Tobe Hooper,2,13559,52,1
21037,Prince,2,41762,58,0
14875,Robert Rossen,2,60437,72,0
33008,Menahem Golan,2,49069,40,5
76546,Ricky Schroder,0,22842,47,1
76624,Shane Carruth,2,14337,41,1
239075,Dylan Kidd,2,25313,38,6
24,Robert Zemeckis,2,55457,39,4
19266,Larry Cohen,2,28153,73,0
38516,Denys Arcand,2,18499,46,2
225898,István Szabó,0,18701,67,1
36086,Peter Richardson,0,202587,36,4
20907,Antoine Fuqua,2,126148,42,3
47399,Frank Tashlin,2,18973,69,3
2004,George Abbott,2,41253,71,1
13284,Stanley Donen,2,41253,38,4
58093,Don McGuire,2,15787,56,0
10808,Stephen Norrington,2,47657,31,0
13848,Charlie Chaplin,2,42510,34,1
931194,George Melford,0,36841,58,0
11528,Jean Renoir,2,48365,66,0
11528,Jean Renoir,2,51949,67,4
10001,William Wyler,2,41355,48,7
8500,John Ford,0,18771,37,1
10092,Robert J. Flaherty,0,70447,74,0
2746,Elia Kazan,2,99898,30,0
40,Orson Welles,2,44026,51,0
16745,Melville Shavelson,2,42798,46,0
20921,Monte Hellman,2,60555,36,6
83698,King Hu,0,104237,54,0
38131,Sergey Bondarchuk,2,29266,74,1
102429,Roger Corman,2,84285,33,0
23393,Barbet Schroeder,2,36665,65,5
3460,Gene Wilder,2,29859,35,3
107669,Eldar Ryazanov,2,43430,60,7
270361,Aleksey German,0,133008,48,4
18627,Paul Morrissey,0,62847,73,1
99436,Chang Cheh,0,13481,68,0
11401,John Woo,2,13514,56,3
37626,Patrice Leconte,2,33701,39,1
6349,Alan J. Pakula,2,54663,55,2
488,Steven Spielberg,2,15301,48,0
4600,Joe Dante,2,15301,68,0
4610,John Landis,2,15301,32,2
20629,George Miller,2,15301,74,2
58448,Penelope Spheeris,0,28054,42,4
18899,Yuen Woo-ping,0,25425,57,0
84736,Ivan Passer,2,41243,49,2
126620,Ross McElwee,0,41480,57,0
119294,Abbas Kiarostami,0,49964,37,0
11401,John Woo,2,18305,70,1
97579,Guy Maddin,2,41967,68,0
56205,Atom Egoyan,2,85556,30,0
17281,Mike Hodges,0,71373,32,1
86290,Derek Jarman,0,110838,42,0
12180,Mamoru Oshii,2,14571,57,0
10781,Michael Apted,2,20562,54,0
12453,Wong Kar-wai,2,18311,62,0
231756,Sandy Tung,2,48448,67,0
20640,Chen Kaige,2,41783,35,2
11472,Irwin Winkler,2,22423,73,0
141618,Anders Eriksson,0,53688,74,0
141619,Claes Eriksson,0,53688,61,1
35927,Alain Corneau,2,41804,74,3
92561,Nick Broomfield,2,97044,50,5
63937,Albert Pyun,2,13995,45,4
24173,Mike Binder,2,186809,50,3
253085,Goran Marković,0,41777,40,1
41040,Tony Gatlif,2,47105,66,3
18844,John Madden,0,63097,65,2
16767,Aki Kaurismäki,0,58416,64,0
65314,Giuseppe Tornatore,0,19223,48,0
64796,Tom Holland,2,152426,49,0
57607,Stephen Chow,2,41343,47,6
118355,Lee Lik-Chi,2,41343,70,2
16767,Aki Kaurismäki,0,8214,43,3
28283,Buddy Giovinazzo,0,100167,44,1
116018,Matthew Barney,0,36702,60,1
21981,Harald Zwart,2,17629,30,0
58614,SABU,2,36221,32,0
61824,Mick Garris,2,26215,45,4
112588,Kirby Dick,2,35638,52,2
18308,Steve Barron,2,7096,40,1
113337,Aleksey Balabanov,2,84002,41,4
21183,Nicolas Winding Refn,2,17985,39,0
90657,David Mallet,2,24272,61,8
87429,Michel Ocelot,2,21348,45,1
129119,Terry Winsor,2,18394,37,1
146977,Vince Offer,0,32306,67,1
26882,Kiyoshi Kurosawa,2,72490,41,0
119294,Abbas Kiarostami,0,43423,53,0
56210,Pablo Trapero,2,101338,57,2
116018,Matthew Barney,0,23985,37,5
58614,SABU,2,36246,57,4
55116,Joe Chappelle,2,26245,65,0
122348,Guy Jenkin,0,25988,55,2
55299,Mark Herman,0,38294,37,0
4275,Alain Chabat,2,2899,57,0
144014,Gakuryû Ishii,2,32248,57,3
96855,Takashi Ishii,0,37998,66,2
2034,Danny Boyle,2,57558,70,0
144014,Gakuryû Ishii,2,27245,65,0
1128,Agnieszka Holland,1,125842,56,8
55251,Asif Kapadia,0,23305,46,0
