ActorID,Name,Gender,Role,MovieID,Born_Date
6680,Don McKellar,2,Timothy,8391,1968
10202,Holly Hunter,1,Claudia Larson,9089,2003
22340,Robert Downey Jr.,2,Tommy Larson,9089,1990
1773,Anne Bancroft,1,Adele Larson,9089,1989
4264,Charles Durning,2,Henry Larson,9089,2005
4890,Claire Danes,1,Kitt Larson,9089,1973
6940,Dylan McDermott,2,Leo Fish,9089,1986
9052,Geraldine Chaplin,1,Aunt Glady,9089,1962
24684,Steve Guttenberg,2,Walter Wedman,9089,1995
6111,David Strathairn,2,Russell Terziak,9089,1954
5367,Cynthia Stevenson,1,Joanne Larson Wedman,9089,1952
20797,Pauly Shore,2,Bud Macintosh,9536,1992
24581,Stephen Baldwin,2,Doyle Johnson,9536,1964
12583,Joey Lauren Adams,1,Monique (as Joey Adams),9536,1999
25418,Teresa Hill,1,Jen,9536,1968
27143,William Atherton,2,Dr. Noah Faulkner,9536,1955
5788,Dara Tomanovich,1,Mimi Simkins,9536,2004
14575,Kevin West,2,T.C. Romulus,9536,1964
6300,Denise Dowse,1,Olivia Biggs,9536,2005
15092,Kylie Minogue,1,Dr. Petra von Kant,9536,1956
15069,Kyle Gass,2,Tenacious D,9536,1974
10819,Jack Black,2,Tenacious D,9536,1967
22782,Rose McGowan,1,Denise,9536,1979
11706,Jean-Paul Belmondo,2,Henri Fortin / Jean Valjean,48750,1990
18485,Michel Boujenah,2,André Ziman,48750,2003
645,Alessandra Martines,1,Elise Ziman,48750,1973
23133,Salomé Lelouch,0,La fille Ziman,48750,1960
1850,Annie Girardot,1,Thénardière 1942,48750,1973
21164,Philippe Léotard,2,Thénardier 1942,48750,1972
21159,Philippe Khorsand,2,Le policier / Javert,48750,1963
25609,Ticky Holgado,2,Le gentil voyou / Kind Hoodlum,48750,1992
22889,Rufus,2,Thénardier 1830 / 1990,48750,1967
19683,Nicole Croisille,0,Thénardière 1830 / 1990,48750,1994
27201,William Leymergie,0,Toureiffel,48750,1993
11638,Jean Marais,2,Mgr Myriel,48750,1991
18531,Micheline Presle,1,La mère supérieure / Mother Superior,48750,1954
5836,Darry Cowl,0,Le bouquiniste / Bookseller,48750,1988
5066,Clémentine Célarié,1,Catherine / Fantine,48750,1990
5659,Daniel Toscan du Plantier,2,Le comte de Villeneuve,48750,1960
22146,Rick Moranis,2,David Leary,36929,1984
25816,Tom Arnold,2,Rosco Bigger - Fang,36929,1996
13560,Julianne Phillips,1,Victoria Tucker,36929,1965
3955,Carol Kane,1,Faith Bigger,36929,1960
11827,Jeffrey Tambor,2,Art Lundstrum,36929,1979
5338,Curtis Armstrong,2,Clark,36929,1974
6678,Don Knotts,2,Principal Kokelar,36929,1967
6271,Demi Moore,1,Annie Laird,9623,1990
519,Alec Baldwin,2,Teacher,9623,1994
13230,Joseph Gordon-Levitt,2,Oliver Laird,9623,1985
1792,Anne Heche,1,Juliet,9623,1964
11153,James Gandolfini,2,Eddie,9623,1993
15924,Lindsay Crouse,1,Tallow,9623,1970
26028,Tony Lo Bianco,2,Louie Boffano,9623,2003
18227,Michael Constantine,2,Judge Weitzel,9623,1999
17690,Matt Craven,2,Boone,9623,1999
25805,Todd Susman,2,Bozeman,9623,1953
18395,Michael Rispoli,2,Joseph Boffano,9623,1964
13591,Julie Halston,0,Inez,9623,2002
8378,Frank Adonis,2,DeCicco,9623,1952
17755,Matthew Cowles,2,Rodney,9623,2001
21308,Polly Adams,0,Forewoman,9623,1970
17324,Mark Rylance,2,William Adamson,8447,1975
14965,Kristin Scott Thomas,1,Matty Crompton,8447,1967
20582,Patsy Kensit,1,Eugenia Alabaster Adamson,8447,1954
12005,Jeremy Kemp,2,Sir Harald Alabaster,8447,1963
6833,Douglas Henshall,0,Edgar Alabaster,8447,1986
1836,Annette Badland,1,Lady Alabaster,8447,1995
4591,Chris Larkin,2,Robin,8447,1970
1720,Anna Massey,1,Miss Mead,8447,1963
7041,Eddie Murphy,2,Maximillian | Pauly | Guido,12158,1991
1529,Angela Bassett,1,Detective Rita Veder,12158,1981
994,Allen Payne,2,Detective Justice,12158,1975
13799,Kadeem Hardison,2,Julius Jones,12158,1991
12962,John Witherspoon,2,Silas Green,12158,1979
27734,Zakes Mokae,2,Dr. Zeko,12158,1959
12414,Joanna Cassidy,1,Capt. Dewey,12158,1966
26912,W. Earl Brown,2,Police Officer,12158,1958
24175,Simbi Khali,0,Nikki,12158,1965
391,Al Pacino,2,Mayor John Pappas,11062,1997
12702,John Cusack,2,Deputy Mayor Kevin Calhoun,11062,1985
3469,Bridget Fonda,1,Marybeth Cogan,11062,1984
5724,Danny Aiello,2,Frank Anselmo,11062,1966
17454,Martin Landau,2,Judge Walter Stern,11062,1997
6077,David Paymer,2,Abe Goodman,11062,1987
22105,Richard Schiff,2,Larry Schwartz,11062,1977
7404,Ellen DeGeneres,1,Martha Alston,47475,1987
2957,Bill Pullman,2,Whitman Crawford,47475,1975
12389,Joan Cusack,1,Inga Gunther,47475,1973
6184,Dean Stockwell,2,Jack Tramonte,47475,1964
12402,Joan Plowright,1,Mrs. Crawford,47475,1958
10220,Hope Davis,1,Annie,47475,1982
7401,Ellen Cleghorne,0,Jane,47475,1981
4722,Christine Cattell,1,Nancy Culpepper,47475,1955
22363,Robert Goulet,2,Dick Braxton,47475,1998
17009,Maria Schrader,1,Fanny Fink,11907,1953
21249,Pierre Sanoussi-Bliss,0,Orfeo de Altamar,11907,2005
18462,Michael von Au,0,Lothar Sticker,11907,1957
7311,Elisabeth Trissenaar,1,Madeleine,11907,1959
12374,Joachim Król,2,Anton,11907,1990
10533,Ingo Naujoks,2,Lasse Laengsfeld,11907,1960
9998,Helena Bonham Carter,1,Margaret MacNeil,71754,2000
5050,Clive Russell,2,Neil Currie,71754,1993
5278,Craig Olejnik,2,Jimmy MacNeil,71754,1977
14056,Kate Nelligan,1,Catherine MacNeil,71754,1988
14438,Kenneth Welsh,0,Angus MacNeil,71754,1954
1318,Andrea Morris,1,Marilyn,71754,1974
14419,Kenneth Branagh,2,Narration (voice),51352,1974
9271,Glenn Close,1,Diary Readings (voice),51352,1988
23409,Sarah Jessica Parker,1,Lucy,10324,1979
7396,Elle Macpherson,1,Jane,10324,1983
23514,Scarlett Johansson,1,Emily,10324,1966
7715,Eric Schaeffer,2,Joe,10324,1985
6608,Dominic Chianese,2,Al,10324,2005
7533,Emily Hart,0,Eddy,10324,1950
2720,Ben Stiller,2,,10324,1993
1482,Andy García,2,Ruben Martinez / Robby Martin,78406,1996
409,Alan Arkin,2,Lou Perilli,78406,1957
21487,Rachel Ticotin,1,Laura,78406,1993
12515,Joe Pantoliano,2,Eddie Agopian,78406,1984
1019,Ally Walker,1,Bonnie Martin,78406,1998
6069,David Ogden Stiers,2,Judge Winton Myers,78406,1967
14551,Kevin McCarthy,2,Reed Tyler,78406,1999
21984,Richard Bradford,2,Nick Zingaro,78406,1991
10194,Holland Taylor,1,Mona Rowland-Downey,78406,1971
13272,Josh Charles,2,Charlie Dunlap,110972,1957
1792,Anne Heche,1,Amy,110972,1968
12763,John Goodman,2,Alan Davenport,110972,1977
4730,Christine Lahti,1,Ruby,110972,1960
4724,Christine Ebersole,1,Mom Dunlap,110972,1979
21037,Peter Riegert,2,Dad Dunlap,110972,1950
6403,Dey Young,0,Mrs. Tarnell,110972,1996
3090,Bob Balaban,2,Paul Entamen,110972,1996
27084,Wil Wheaton,2,Jack,110972,1966
5926,David Caruso,2,David Corelli,11863,1982
15890,Linda Fiorentino,1,Katrina Gavin,11863,1998
4395,Chazz Palminteri,2,Matt Gavin,11863,1961
18187,Michael Biehn,2,Bob Hargrove,11863,1982
22004,Richard Crenna,2,Governor Edwards,11863,1956
1576,Angie Everhart,1,Patrice Jacinto,11863,2005
6747,Donna Murphy,1,Karen Heller,11863,1990
10212,Holt McCallany,2,Bill Barrett,11863,1969
6003,David Hunt,2,Pat Callendar,11863,2003
14573,Kevin Tighe,2,D.A. Arnold Clifford,11863,1990
22539,Robin Thomas,2,Mr. Green,11863,1982
26626,Victoria Smith,0,Sandy,11863,1988
6888,Drew Snyder,2,Executive,11863,1962
23316,Sandy Berumen,1,Assistant District Attorney,11863,1959
3646,Buddy Joe Hooker,2,Assistant District Attorney,11863,1973
3134,Bobby Bass,2,Assistant District Attorney,11863,1998
6480,Dick Ziker,0,Assistant District Attorney,11863,1960
26609,Victor Wong,2,Mr. Wong,11863,1984
14435,Kenneth Tigar,2,Corporate Man,11863,1999
22708,Ron Yuan,2,Technician,11863,1983
12968,John Wyman,2,Cop,11863,1950
11656,Jean Seberg,1,Herself,123360,1988
17512,Mary Beth Hurt,1,Jean Seberg,123360,1970
10939,Jacob Tierney,2,David (Aged 15),39428,1981
6868,Drake Bell,2,David (Aged 10),39428,1951
8841,Gena Rowlands,1,Mae Morgan,39428,1957
6431,Diana Scarwid,1,Sarah,39428,1973
6287,Denis Leary,2,Frank,39428,2003
15643,Leo Burmester,2,Bobbie Lee Taylor,39428,2001
24548,Stephanie Astalos-Jones,1,Second Testifier,39428,1969
12217,Jill Jane Clements,1,Woman,39428,1965
8297,Frances Conroy,1,Miss Scover,39428,1953
23903,Sharon Blackwood,1,Schoolmistress,39428,1965
21019,Peter McRobbie,2,Reverend Watkins,39428,1986
22543,Robin Williams,2,Armand Goldman,11000,1955
8845,Gene Hackman,2,Sen. Kevin Keeley,11000,1955
19394,Nathan Lane,2,Albert Goldman,11000,1996
6457,Dianne Wiest,1,Louise Keeley,11000,1981
9430,Grant Heslov,2,National Enquirer Photographer,11000,2002
9743,Hank Azaria,2,Agador Spartacus,11000,1954
5498,Dan Futterman,2,Val Goldman,11000,1998
3722,Calista Flockhart,1,Barbara Keeley,11000,1984
4718,Christine Baranski,1,Katherine Archer,11000,1999
25881,Tom McGowan,2,Harry Radman,11000,1958
17468,Martin Sheen,2,Father Jozo Zovko,249882,1958
18458,Michael York,2,Milan Vukovic,249882,1992
19003,Morgan Fairchild,1,Sister Fabijana Zovko,249882,1980
20656,Paul Guilfoyle,2,Miodrag Dobrovic,249882,1985
8931,George Coe,2,Father Ferdo Vlasic,249882,1960
15831,Lili Taylor,1,Kathleen Conklin,34996,1966
4833,Christopher Walken,2,Peina,34996,1983
1763,Annabella Sciorra,1,Casanova,34996,2005
7071,Edie Falco,1,Jean,34996,1988
18301,Michael Imperioli,2,Missionary,34996,1977
20618,Paul Calderon,2,Professor,34996,1963
3578,Bruce Willis,2,John McClane,1572,1984
12002,Jeremy Irons,2,Simon Peter Gruber,1572,1998
23265,Samuel L. Jackson,2,Zeus Carver,1572,1996
9409,Graham Greene,2,Joe Lambert,1572,1994
5125,Colleen Camp,1,Connie Kowalski,1572,1962
15219,Larry Bryggman,2,Chief Cobb,1572,1995
1910,Anthony Peck,0,Ricky Walsh,1572,1969
19567,Nicholas Wyman,0,Targo,1572,1975
23176,Sam Phillips,1,Katya,1572,1992
14509,Kevin Chamberlin,2,Charles Weiss,1572,1991
23919,Sharon Washington,1,Officer Jane,1572,1973
24635,Stephen Pearlman,0,Dr. Schiller,1572,1978
18168,Michael Alexander Jackson,0,Dexter,1572,1983
508,Aldis Hodge,0,Raymond,1572,1978
18850,Mischa Hausserman,2,Mischa,1572,1957
18234,Michael Cristofer,2,Jarvis,1572,1965
26013,Tony Halme,2,Roman,1572,1964
11490,Jason James Richter,2,Jesse,9073,1954
18342,Michael Madsen,2,Glen Greenwood,9073,1971
11602,Jayne Atkinson,1,Annie Greenwood,9073,1951
2356,August Schellenberg,2,Randolph Johnson,9073,1987
17540,Mary Kate Schellhardt,1,Nadine,9073,1985
8335,Francis Capra,2,Elvis,9073,1964
19082,Mykelti Williamson,2,Dwight Mercer,9073,1987
7366,Elizabeth Peña,1,Kate Haley,9073,1964
13053,Jon Tenney,2,John Milner,9073,1950
16546,M. Emmet Walsh,2,Bill Wilcox,9073,1954
24771,Steven Weber,2,Jeffrey,17447,1995
20561,Patrick Stewart,2,Sterling,17447,1990
18425,Michael T. Weiss,2,Steve Howard,17447,1953
24153,Sigourney Weaver,1,Debra Moorhouse,17447,1964
4718,Christine Baranski,1,Ann Marwood Bartle,17447,1954
3607,Bryan Batt,2,Darius,17447,1952
26590,Victor Garber,2,Tim,17447,2005
19394,Nathan Lane,2,Father Dan,17447,1971
21013,Peter Maloney,2,Dad,17447,1954
6224,Debra Monk,1,Mom,17447,1982
20173,Olympia Dukakis,1,Mrs. Marcangelo,17447,1965
10783,J. Smith-Cameron,1,Sharon,17447,1967
7864,Ethan Phillips,2,Dave,17447,1992
14167,Kathy Najimy,1,Acolyte,17447,1981
3786,Camryn Manheim,1,Single Woman,17447,1963
889,Alice Drummond,1,Grandma Rose,17447,1984
20797,Pauly Shore,2,Tommy Collins,19326,1958
25602,Tia Carrere,1,Monica,19326,1996
24493,Stanley Tucci,2,Frank,19326,1986
3412,Brian Doyle-Murray,2,Harry,19326,1986
79,Abe Vigoda,2,Judge Powell,19326,1980
4296,Charles Napier,2,Jed,19326,1965
22020,Richard Edson,2,Skeets,19326,2000
22094,Richard Riehle,2,Principal Beasely,19326,1980
680,Alex Datcher,1,Sarah,19326,2001
22112,Richard T. Jones,2,Nathan,19326,1976
23902,Sharon Barr,0,Libby Starling,19326,1962
10864,Jack McGee,2,Murphy,19326,1956
19572,Nick Bakay,0,Richard Hertz,19326,1956
7812,Ernie Lee Banks,2,Ray,19326,1992
23990,Shelley Winters,1,Mrs. Collins,19326,1977
24232,Siobhan Fallon,1,Heather,19326,1972
23632,Sean Whalen,2,Carl Wayne Bishop,19326,1977
2971,Billie Bird,1,Rose,19326,1976
22136,Rick Ducommun,0,The Real Frank (uncredited),19326,1979
1369,Andrew Dice Clay,0,Uncle Sal (uncredited),19326,2005
17297,Mark L. Taylor,0,Russell Cadbury,19326,1996
7365,Elizabeth Perkins,1,Rebecca Trager Lott,68274,1953
9636,Gwyneth Paltrow,1,Lucy Trager,68274,1993
14131,Kathleen Turner,1,Alberta Trager,68274,1991
27079,Whoopi Goldberg,1,Sylvie Morrow,68274,1991
13021,Jon Bon Jovi,2,,68274,1956
23818,Shadia Simmons,1,Jenny Morrow,68274,1953
7733,Erica Luttrell,1,Drew Morrow,68274,1975
17152,Marina Zudina,0,Billy Hughes,48787,1996
8101,Fay Ripley,0,Karen Hughes,48787,1971
7932,Evan Richards,0,Andy Clarke,48787,2001
10448,Igor Volkov,2,Arkadi,48787,2005
23730,Sergei Karlenkov,2,Lyosha,48787,1956
520,Alec Guinness,2,The Reaper,48787,1965
586,Aleksandr Pyatkov,2,,48787,1962
19789,Nikolai Pastukhov,2,Janitor,48787,1962
552,Aleksandr Bureyev,2,,48787,1984
27633,Yuriy Sherstnyov,2,,48787,1978
6284,Denis Karasyov,0,Fake policeman,48787,1958
20092,Olga Tolstetskaya,0,Actress,48787,1977
20059,Oleg Yankovskiy,2,Larsen,48787,1961
7287,Elina Löwensohn,1,Nadja,34574,1967
20964,Peter Fonda,2,Dracula / Dr. Van Helsing,34574,1979
6044,David Lynch,2,Morgue Receptionist,34574,1965
24987,Suzy Amis,1,Cassandra,34574,2005
11435,Jared Harris,2,Edgar,34574,1954
17438,Martin Donovan,2,Jim,34574,1978
18149,Mia Farrow,0,Rachel,58372,2001
26011,Tony Goldwyn,2,Tom,58372,2005
23546,Scott Glenn,2,Lloyd,58372,2004
17578,Mary-Louise Parker,1,Pooty,58372,1985
20563,Patrick Swayze,2,Vida Boheme,9090,1956
27068,Wesley Snipes,2,Noxeema Jackson,9090,1953
12815,John Leguizamo,2,Chi-Chi Rodriguez,9090,1991
24789,Stockard Channing,1,Carol Ann,9090,1984
11499,Jason London,2,Bobby Ray,9090,2003
22864,RuPaul,2,Rachel Tensions,9090,1950
22543,Robin Williams,2,John Jacob Jingleheimer Schmidt (uncredited),9090,1955
889,Alice Drummond,1,Clara,9090,1998
3083,Blythe Danner,1,Beatrice,9090,2004
2118,Arliss Howard,2,Virgil,9090,1965
4611,Chris Penn,2,Sheriff Dollard,9090,1960
18050,Melinda Dillon,1,Merna,9090,1976
2837,Beth Grant,1,Loretta,9090,1981
18438,Michael Vartan,2,Tommy,9090,1980
19242,Naomi Campbell,1,Girl,9090,1963
23288,Sandra Bernhard,1,herself,77350,2005
10635,Isaac Mizrahi,2,himself,77350,1975
19242,Naomi Campbell,1,herself,77350,1953
12753,John Galliano,2,himself,77350,1960
14053,Kate Moss,1,herself,77350,1974
15888,Linda Evangelista,0,as herself,77350,1950
4876,Cindy Crawford,1,as herself,77350,1974
14256,Keanu Reeves,2,Paul Sutton,9560,1966
337,Aitana Sánchez-Gijón,1,Victoria Aragón,9560,2000
1914,Anthony Quinn,2,Don Pedro Aragón,9560,2000
1586,Angélica Aragón,1,María José Aragón,9560,1979
7937,Evangelina Elizondo,1,Guadelupe Aragón,9560,1968
6223,Debra Messing,1,Betty Sutton,9560,1977
9108,Giancarlo Giannini,2,Alberto Aragón,9560,1994
8552,Freddy Rodríguez,2,"Pedro Aragón, Jr.",9560,1996
12944,John Travolta,2,Louis Pinnock,31611,2000
9826,Harry Belafonte,2,Thaddeus Thomas,31611,1985
14344,Kelly Lynch,1,Marsha Pinnock,31611,1992
16914,Margaret Avery,1,Megan Thomas,31611,1995
25825,Tom Bower,2,Stanley,31611,1981
19753,Nikita Mikhalkov,2,Col. Sergei Petrovich Kotov,50797,1959
20051,Oleg Menshikov,2,Dimitri (Mitya),50797,1962
10529,Ingeborga Dapkunaite,1,Marusia,50797,1968
26902,Vyacheslav Tikhonov,2,Vsevolod,50797,1963
19130,Nadezhda Mikhalkova,1,Nadya Kotova,50797,1953
1459,André Oumansky,0,Philippe,50797,1987
914,Alicia Silverstone,0,Jennifer,37141,1997
12006,Jeremy London,2,Jack,37141,1984
10800,J.T. Walsh,2,Harry Tucker,37141,1953
19629,Nicky Katt,2,Mark,37141,1997
15486,Lee Garlington,1,Dolly Tucker,37141,1970
8991,George Segal,2,Bill Holsten,37141,1953
23015,Ryan Slater,2,Jimmy,37141,1953
16111,Lois Chiles,1,Bernice Holsten,37141,1987
27079,Whoopi Goldberg,1,Jane Deluca,9382,1980
17578,Mary-Louise Parker,1,Robin,9382,1982
6874,Drew Barrymore,1,Holly Pulchik-Lincoln,9382,2004
17779,Matthew McConaughey,2,Abe Lincoln,9382,1983
11225,James Remar,2,Alex,9382,1960
3019,Billy Wirth,2,Nick,9382,1953
12977,Johnny Depp,2,Don Juan deMarco,1909,1982
17370,Marlon Brando,2,Dr. Jack Mickler,1909,1955
8103,Faye Dunaway,1,Marilyn Mickler,1909,2004
9645,Géraldine Pailhas,1,Dona Ana,1909,1961
3098,Bob Dishy,2,Dr. Paul Showalter,1909,1954
21487,Rachel Ticotin,1,Doña Inez,1909,1988
25173,Talisa Soto,1,Doña Julia,1909,1954
24643,Stephen Singer,2,Dr. Bill Dunsmore,1909,1993
27917,Джо Чампа,1,Sultana Gulbeyaz,1909,2005
17202,Marita Geraghty,1,Woman in Restaurant,1909,1965
21989,Richard C. Sarafian,0,Detective Sy Tobias,1909,1975
26138,Tresa Hughes,1,Grandmother DeMarco,1909,1957
3923,Carmen Argenziano,2,Don Alfonzo,1909,1986
18253,Michael Douglas,2,Tom Sanders,8984,1965
6271,Demi Moore,1,Meredith Johnson,8984,1987
6726,Donald Sutherland,2,Bob Garvin,8984,1988
6932,Dylan Baker,2,Philip Blackburn,8984,1952
10952,Jacqueline Kim,1,Cindy Chang,8984,1989
22645,Roma Maffia,1,Catherine Alvarez,8984,1955
3993,Caroline Goodall,1,Susan Hendler,8984,1976
22798,Rosemary Forsyth,1,Stephanie Kaplan,8984,1992
6327,Dennis Miller,2,Mark Lewyn,8984,1987
24984,Suzie Plakson,1,Mary Anne Hunter,8984,1986
19559,Nicholas Sadler,2,Don Cherry,8984,1983
6706,Donal Logue,2,Chance Geer,8984,1970
6940,Dylan McDermott,2,Julian,62488,1966
19214,Nancy Travis,1,Lucille,62488,1963
11178,James Le Gros,2,Thoreau,62488,1992
21417,Quentin Tarantino,2,Destiny,62488,1995
12245,Jim Belushi,2,Tuerto,62488,1970
14158,Kathy Bates,1,Dolores Claiborne,11929,1965
11913,Jennifer Jason Leigh,1,Selena St. George,11929,1966
13473,Judy Parfitt,0,Vera Donovan,11929,1975
4820,Christopher Plummer,2,John Mackey,11929,1958
6111,David Strathairn,2,Joe St. George,11929,1992
12672,John C. Reilly,2,Const. Frank Stamshaw,11929,1991
7667,Eric Bogosian,2,Peter,11929,1969
7414,Ellen Muth,1,Young Selena,11929,1979
3105,Bob Gunton,2,Mr. Pease,11929,1970
17974,Meg Ryan,1,Kate,397,1998
14544,Kevin Kline,2,Luc Teyssier,397,1954
25708,Timothy Hutton,2,Charlie,397,1950
11649,Jean Reno,2,Inspector Jean-Paul Cardon,397,1979
117,Adam Brooks,2,Perfect Passenger,397,1989
8489,François Cluzet,0,Bob,397,1986
24967,Suzan Anbeh,1,Juliette,397,1956
21896,Renée Humphrey,1,Lilly,397,1954
2932,Bill Farmer,2,Goofy Goof (voice),15789,1984
11503,Jason Marsden,2,Max Goof (voice),15789,1963
22264,Rob Paulsen,2,P.J. Pete (voice),15789,1982
12255,Jim Cummings,2,Peter Pete (voice),15789,1966
14326,Kellie Martin,1,Roxanne (voice),15789,1958
14548,Kevin Lima,2,Lester (voice),15789,1972
11867,Jenna von Oy,1,Stacey (voice),15789,1954
12584,Joey Lawrence,2,Chad (voice),15789,1965
13572,Julie Brown,1,Lisa (voice),15789,1973
27017,Wayne Allwine,2,Mickey Mouse (voice),15789,1968
26933,Wallace Shawn,2,Principal Arthur Mazur (voice),15789,1960
8255,Florence Stanley,1,Waitress (voice),15789,1978
8453,Frank Welker,2,Bigfoot (voice),15789,2003
20440,Pat Buttram,2,Possum Park Emcee (voice),15789,1984
20797,Pauly Shore,2,Bobby Zimmeruski (voice) (uncredited),15789,1995
11785,Jeff Goldblum,2,Hatch Harrison,27303,1969
4730,Christine Lahti,1,Lindsey,27303,1989
914,Alicia Silverstone,0,Regina,27303,2001
12019,Jeremy Sisto,2,Vassago,27303,1991
854,Alfred Molina,2,Jonas,27303,1983
21507,Rae Dawn Chong,1,Rose Orwetto,27303,1950
14438,Kenneth Welsh,0,Detective Breech,27303,1992
24520,Stefano Dionisi,0,Carlo Broschi (Farinelli),10954,2002
7625,Enrico Lo Verso,2,Riccardo Broschi,10954,1985
7452,Elsa Zylberstein,1,Alexandra,10954,1969
12031,Jeroen Krabbé,0,George Frideric Handel,10954,1992
3989,Caroline Cellier,1,Margareth Hunter,10954,1956
25374,Ted Manson,2,Henry Royce,47867,1958
263,Afemo Omilami,2,Krugman,47867,1966
4799,Christopher Lambert,2,Paul Racine,32631,1957
12827,John Lone,2,Kinjo,32631,1956
12386,Joan Chen,1,Kirina,32631,1997
27523,Yoshio Harada,2,Takeda Sensei,32631,1985
27483,Yoko Shimada,1,Mieko Takeda,32631,1959
16965,Mari Natsuki,1,Junko,32631,1967
25136,Tak Kubota,0,Oshima,32631,1968
17650,Masumi Okada,2,Lt. Wadakura,32631,1988
26083,Toshishiro Obata,0,Ryuma,32631,1963
25685,Tim Robbins,2,Ed Walters,11777,1995
17974,Meg Ryan,1,Catherine Boyd,11777,1971
26960,Walter Matthau,2,Albert Einstein,11777,1963
16195,Lou Jacobi,2,Kurt Gödel,11777,1993
24606,Stephen Fry,2,James Moreland,11777,1990
13237,Joseph Maher,2,Nathan Liebknecht,11777,2004
8854,Gene Saks,2,Boris Podolsky,11777,1966
26046,Tony Shalhoub,2,Bob Rosetti,11777,1982
8454,Frank Whaley,2,Frank,11777,1981
4264,Charles Durning,2,Louis Bamberger,11777,1966
5769,Danny Zorn,2,Dennis,11777,2004
3251,Brad Pitt,2,Louis de Pointe du Lac,628,1953
25840,Tom Cruise,2,Lestat de Lioncourt,628,1955
14812,Kirsten Dunst,1,Claudia,628,1990
1976,Antonio Banderas,2,Armand,628,1977
4674,Christian Slater,2,Daniel Malloy,628,2003
24637,Stephen Rea,2,Santiago,628,1967
